epoch,accuracy,auc,fn,fp,loss,precision,recall,tn,tp,val_accuracy,val_auc,val_fn,val_fp,val_loss,val_precision,val_recall,val_tn,val_tp
0,0.5537512302398682,0.5790099501609802,4820.0,5018.0,71.594482421875,0.5527629256248474,0.5626928210258484,6006.0,6202.0,0.4965517222881317,0.5055053234100342,1387.0,0.0,11.771745681762695,0.0,0.0,1368.0,0.0
1,0.539417564868927,0.5556249022483826,5204.0,4950.0,50.66617965698242,0.5404326319694519,0.5279818773269653,6071.0,5821.0,0.4954628050327301,0.6631348133087158,1390.0,0.0,11.863442420959473,1.0,0.000718907278496772,1364.0,1.0
2,0.5464029908180237,0.5737844109535217,4875.0,5125.0,18.111244201660156,0.5454142093658447,0.5577830076217651,5897.0,6149.0,0.49183303117752075,0.5764251351356506,1400.0,0.0,9.650943756103516,0.0,0.0,1355.0,0.0
3,0.5431370735168457,0.5640450716018677,5054.0,5018.0,8.138382911682129,0.5434030890464783,0.541628897190094,6002.0,5972.0,0.6221415400505066,0.5093144774436951,498.0,543.0,3.43935489654541,0.6213389039039612,0.6414687037467957,823.0,891.0
4,0.5479905605316162,0.576036274433136,5141.0,4824.0,45.36271667480469,0.5495798587799072,0.5337806940078735,6195.0,5886.0,0.5353901982307434,0.5356934666633606,676.0,604.0,12.395066261291504,0.5417298674583435,0.5136690735816956,761.0,714.0
5,0.5670416355133057,0.5935372114181519,4947.0,4598.0,19.645158767700195,0.5691933035850525,0.5511704087257385,6426.0,6075.0,0.4994555413722992,0.64846271276474,1379.0,0.0,8.761929512023926,0.0,0.0,1376.0,0.0
6,0.5691735744476318,0.5985990762710571,4853.0,4645.0,11.593721389770508,0.5705039501190186,0.5597387552261353,6378.0,6170.0,0.5212340950965881,0.6516689658164978,14.0,1305.0,5.619814395904541,0.5139665007591248,0.9899569749832153,56.0,1380.0
7,0.534881591796875,0.5528374910354614,5317.0,4937.0,36.82896423339844,0.5362577438354492,0.5177761912345886,6083.0,5709.0,0.505989134311676,0.6503594517707825,0.0,1361.0,9.054725646972656,0.505989134311676,1.0,0.0,1394.0
8,0.5499863624572754,0.5730800628662109,5175.0,4746.0,67.99945831298828,0.5519682765007019,0.5304844975471497,6278.0,5847.0,0.5045372247695923,0.5782132744789124,0.0,1365.0,7.464778423309326,0.5045372247695923,1.0,0.0,1390.0
9,0.5805134773254395,0.6092042922973633,4677.0,4571.0,8.831012725830078,0.5813719034194946,0.575782299041748,6450.0,6348.0,0.49582576751708984,0.5023925304412842,1389.0,0.0,13.75190544128418,0.0,0.0,1366.0,0.0
